iso3,Country/Territory,MAP LABEL,MAP COLOR,STATUS
CMR,Cameroon,Cameroon,CMR,Member State
COD,Democratic Republic of the Congo,Democratic Republic of the Congo,COD,Member State
COG,Congo,Congo,COG,Member State
COL,Colombia,Colombia,COL,Member State
COM,Comoros,Comoros,COM,Member State
CPV,Cabo Verde,Cape Verde,CPV,Member State
CRI,Costa Rica,Costa Rica,CRI,Member State
CUB,Cuba,Cuba,CUB,Member State
CYP,Cyprus,Cyprus,CYP,Member State
CZE,Czechia,Czechia,CZE,Member State
DEU,Germany,Germany,DEU,Member State
DJI,Djibouti,Djibouti,DJI,Member State
DMA,Dominica,Dominica,DMA,Member State
DNK,Denmark,Denmark,DNK,Member State
FRO,Faroe Islands,Faroe Islands (Denmark),DNK,Territory
GRL,Greenland,Greenland (Denmark),DNK,Territory
DOM,Dominican Republic,Dominican Republic,DOM,Member State
DZA,Algeria,Algeria,DZA,Member State
ECU,Ecuador,Ecuador,ECU,Member State
EGY,Egypt,Egypt,EGY,Member State
EGY,Bi'r Tawīl,,EGY,Undetermined
ERI,Eritrea,Eritrea,ERI,Member State
ESH,Western Sahara,Western Sahara *,ESH,Non-Self Governing Territory
ESP,Canary Islands,Canary Islands (Sp.),ESP,Territory
ESP,Spain,Spain,ESP,Member State
EST,Estonia,Estonia,EST,Member State
ETH,Ethiopia,Ethiopia,ETH,Member State
ALA,Åland Islands,Åland Islands,FIN,Territory
FIN,Finland,Finland,FIN,Member State
FJI,Fiji,Fiji,FJI,Member State
ATF,Bassas da India,Bassas da India (Fr.),FRA,Territory
PYF,Clipperton Island,Clipperton Island,FRA,Territory
ATF,Europa Island,Europa Island (Fr.),FRA,Territory
FRA,France,France,FRA,Member State
GUF,French Guiana,French Guiana (Fr.),FRA,Territory
PYF,French Polynesia,French Polynesia *,FRA,Non-Self Governing Territory
ATF,French Southern Territories,French Southern Territories (Fr.),FRA,Territory
ATF,Glorioso Islands,Glorioso Islands (Fr.),FRA,Territory
GLP,Guadeloupe,Guadeloupe (Fr.),FRA,Territory
ATF,Juan de Nova Island,Juan de Nova Island (Fr.),FRA,Territory
MTQ,Martinique,Martinique (Fr.),FRA,Territory
MYT,Mayotte,Mayotte,FRA,Territory
NCL,New Caledonia,New Caledonia *,FRA,Non-Self Governing Territory
REU,Réunion,Réunion (Fr.),FRA,Territory
BLM,Saint Barthélemy,Saint Barthélemy (Fr.),FRA,Territory
MAF,Saint Martin,Saint Martin (Fr.),FRA,Territory
SPM,Saint Pierre et Miquelon,Saint Pierre et Miquelon (Fr.),FRA,Territory
ATF,Tromelin Island,Tromelin Island (Fr.),FRA,Territory
WLF,Wallis and Futuna,,FRA,Territory
FSM,Micronesia (Federated States of),Micronesia (Federated States of),FSM,Member State
GAB,Gabon,Gabon,GAB,Member State
xUK,Akrotiri,Akrotiri (S.B.A.),GBR,Territory
AIA,Anguilla,Anguilla *,GBR,Non-Self Governing Territory
SHN,Saint Helena,Ascencion *,GBR,Non-Self Governing Territory
BMU,Bermuda,Bermuda *,GBR,Non-Self Governing Territory
VGB,British Virgin Islands,British Virgin Islands *,GBR,Non-Self Governing Territory
CYM,Cayman Islands,Cayman Islands *,GBR,Non-Self Governing Territory
xUK,Dekelia,Dekelia (S.B.A.),GBR,Territory
FLK,Falkland Islands (Malvinas),Falkland Islands (Malvinas) ***,GBR,Non-Self Governing Territory
GIB,Gibraltar,Gibraltar *,GBR,Non-Self Governing Territory
SHN,Saint Helena,Gough *,GBR,Non-Self Governing Territory
GGY,Guernsey,Guernsey (UK),GBR,Territory
IMN,Isle of Man,Isle of Man (UK),GBR,Territory
JEY,Jersey,Jersey (UK),GBR,Territory
MSR,Montserrat,Montserrat *,GBR,Non-Self Governing Territory
PCN,Pitcairn,Pitcairn *,GBR,Non-Self Governing Territory
SHN,Saint Helena,Saint Helena *,GBR,Non-Self Governing Territory
SGS,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Is.,GBR,Territory
SHN,Saint Helena,Tristan da Cunha *,GBR,Non-Self Governing Territory
TCA,Turks and Caicos Islands,Turks and Caicos Islands *,GBR,Non-Self Governing Territory
GBR,United Kingdom of Great Britain & Northern Ireland,United Kingdom of Great Britain & Northern Ireland,GBR,Member State
GEO,Georgia,Georgia,GEO,Member State
GHA,Ghana,Ghana,GHA,Member State
GIN,Guinea,Guinea,GIN,Member State
GMB,Gambia,Gambia,GMB,Member State
GNB,Guinea-Bissau,Guinea-Bissau,GNB,Member State
GNQ,Equatorial Guinea,Equatorial Guinea,GNQ,Member State
GRC,Greece,Greece,GRC,Member State
GRD,Grenada,Grenada,GRD,Member State
GTM,Guatemala,Guatemala,GTM,Member State
GUY,Guyana,Guyana,GUY,Member State
HND,Honduras,Honduras,HND,Member State
HRV,Croatia,Croatia,HRV,Member State
HTI,Haiti,Haiti,HTI,Member State
HUN,Hungary,Hungary,HUN,Member State
IDN,Indonesia,Indonesia,IDN,Member State
IND,India,India,IND,Member State
xAP,Arunachal Pradesh,,IND,Undetermined
IRL,Ireland,Ireland,IRL,Member State
IRN,Iran (Islamic Republic of),Iran (Islamic Republic of),IRN,Member State
IRQ,Iraq,Iraq,IRQ,Member State
ISL,Iceland,Iceland,ISL,Member State
ISR,Israel,Israel,ISR,Member State
ITA,Italy,Italy,ITA,Member State
JAM,Jamaica,Jamaica,JAM,Member State
JOR,Jordan,Jordan,JOR,Member State
JPN,Japan,Japan,JPN,Member State
xSK,Senkaku Islands,,JPN,Undetermined
KAZ,Kazakhstan,Kazakhstan,KAZ,Member State
KEN,Kenya,Kenya,KEN,Member State
KGZ,Kyrgyzstan,Kyrgyzstan,KGZ,Member State
KHM,Cambodia,Cambodia,KHM,Member State
KIR,Kiribati,Kiribati,KIR,Member State
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,KNA,Member State
KOR,Republic of Korea,Republic of Korea,KOR,Member State
KWT,Kuwait,Kuwait,KWT,Member State
LAO,Lao People's Democratic Republic,Lao People's Democratic Republic,LAO,Member State
LBN,Lebanon,Lebanon,LBN,Member State
LBR,Liberia,Liberia,LBR,Member State
LBY,Libya,Libya,LBY,Member State
LCA,Saint Lucia,Saint Lucia,LCA,Member State
LIE,Liechtenstein,Liechtenstein,LIE,Member State
LKA,Sri Lanka,Sri Lanka,LKA,Member State
LSO,Lesotho,Lesotho,LSO,Member State
LTU,Lithuania,Lithuania,LTU,Member State
LUX,Luxembourg,Luxembourg,LUX,Member State
LVA,Latvia,Latvia,LVA,Member State
MAR,Morocco,Morocco,MAR,Member State
MCO,Monaco,Monaco,MCO,Member State
MDA,Moldova,Moldova,MDA,Member State
MDG,Madagascar,Madagascar,MDG,Member State
MDV,Maldives,Maldives,MDV,Member State
MEX,Mexico,Mexico,MEX,Member State
MHL,Marshall Islands,Marshall Islands,MHL,Member State
MKD,North Macedonia,North Macedonia,MKD,Member State
MLI,Mali,Mali,MLI,Member State
MLT,Malta,Malta,MLT,Member State
MMR,Myanmar,Myanmar,MMR,Member State
MNE,Montenegro,Montenegro,MNE,Member State
MNG,Mongolia,Mongolia,MNG,Member State
MOZ,Mozambique,Mozambique,MOZ,Member State
MRT,Mauritania,Mauritania,MRT,Member State
MUS,Chagos Archipelago,Chagos Archipelago (Mauritius),MUS,Territory
MUS,Mauritius,Mauritius,MUS,Member State
MWI,Malawi,Malawi,MWI,Member State
MYS,Malaysia,Malaysia,MYS,Member State
NAM,Namibia,Namibia,NAM,Member State
NER,Niger,Niger,NER,Member State
NGA,Nigeria,Nigeria,NGA,Member State
NIC,Nicaragua,Nicaragua,NIC,Member State
ABW,Aruba,Aruba (Neth.),NLD,Territory
BES,Bonaire,Bonaire (Neth.),NLD,Territory
CUW,Curaçao,Curaçao (Neth.),NLD,Territory
NLD,Netherlands,Netherlands,NLD,Member State
BES,Saba,Saba (Neth.),NLD,Territory
BES,Sint Eustatius,Sint Eustatius (Neth.),NLD,Territory
SXM,Sint Maarten,Sint Maarten (Neth.),NLD,Territory
BVT,Bouvet Island,Bouvet Island,NOR,Territory
NOR,Norway,Norway,NOR,Member State
SJM,Svalbard and Jan Mayen Islands,Svalbard & Jan Mayen Is. (Norw.),NOR,Territory
NPL,Nepal,Nepal,NPL,Member State
NRU,Nauru,Nauru,NRU,Member State
COK,Cook Islands,Cook Islands,NZL,Territory
NZL,New Zealand,New Zealand,NZL,Member State
NIU,Niue,Niue,NZL,Territory
TKL,Tokelau,Tokelau *,NZL,Non-Self Governing Territory
OMN,Oman,Oman,OMN,Member State
PAK,Pakistan,Pakistan,PAK,Member State
PAN,Panama,Panama,PAN,Member State
PER,Peru,Peru,PER,Member State
PHL,Philippines,Philippines,PHL,Member State
PLW,Palau,Palau,PLW,Member State
PNG,Papua New Guinea,Papua New Guinea,PNG,Member State
POL,Poland,Poland,POL,Member State
PRK,Democratic People's Republic of Korea,Democratic People's Republic of Korea,PRK,Member State
PRT,Azores Islands,Azores Islands (Port.),PRT,Territory
PRT,Madeira Island,Madeira Islands (Port.),PRT,Territory
PRT,Portugal,Portugal,PRT,Member State
PRY,Paraguay,Paraguay,PRY,Member State
PSE,Gaza,Gaza,PSE,Occupied Palestinian Territory
PSE,West Bank,West Bank,PSE,Occupied Palestinian Territory
QAT,Qatar,Qatar,QAT,Member State
ROU,Romania,Romania,ROU,Member State
RUS,Russian Federation,Russian Federation,RUS,Member State
xRI,Kuril Islands,,RUS,Undetermined
RWA,Rwanda,Rwanda,RWA,Member State
SAU,Saudi Arabia,Saudi Arabia,SAU,Member State
SDN,Sudan,Sudan,SDN,Member State
SDN,Hala'ib Triangle,,SDN,Undetermined
SEN,Senegal,Senegal,SEN,Member State
SGP,Singapore,Singapore,SGP,Member State
SLB,Solomon Islands,Solomon Islands,SLB,Member State
SLE,Sierra Leone,Sierra Leone,SLE,Member State
SLV,El Salvador,El Salvador,SLV,Member State
SMR,San Marino,San Marino,SMR,Member State
SOM,Somalia,Somalia,SOM,Member State
SRB,Serbia,Serbia,SRB,Member State
SSD,South Sudan,South Sudan,SSD,Member State
SSD,Ilemi Triangle,,SSD,Undetermined
STP,Sao Tome and Principe,Sao Tome and Principe,STP,Member State
SUR,Suriname,Suriname,SUR,Member State
SVK,Slovakia,Slovakia,SVK,Member State
SVN,Slovenia,Slovenia,SVN,Member State
SWE,Sweden,Sweden,SWE,Member State
SWZ,Eswatini,Eswatini,SWZ,Member State
SYC,Seychelles,Seychelles,SYC,Member State
SYR,Syrian Arab Republic,Syrian Arab Republic,SYR,Member State
TCD,Chad,Chad,TCD,Member State
TGO,Togo,Togo,TGO,Member State
THA,Thailand,Thailand,THA,Member State
TJK,Tajikistan,Tajikistan,TJK,Member State
TKM,Turkmenistan,Turkmenistan,TKM,Member State
TLS,Timor-Leste,Timor-Leste,TLS,Member State
TON,Tonga,Tonga,TON,Member State
TTO,Trinidad and Tobago,Trinidad and Tobago,TTO,Member State
TUN,Tunisia,Tunisia,TUN,Member State
TUR,Turkey,Turkey,TUR,Member State
TUV,Tuvalu,Tuvalu,TUV,Member State
TZA,United Republic of Tanzania,United Republic of Tanzania,TZA,Member State
UGA,Uganda,Uganda,UGA,Member State
UKR,Ukraine,Ukraine,UKR,Member State
URY,Uruguay,Uruguay,URY,Member State
ASM,American Samoa,American Samoa *,USA,Non-Self Governing Territory
UMI,Baker Island,Baker Island (USA),USA,Territory
GUM,Guam,Guam *,USA,Non-Self Governing Territory
UMI,Howland Island,Howland Island (USA),USA,Territory
UMI,Jarvis Island,Jarvis Island (USA),USA,Territory
UMI,Johnston Atoll,Johnston Atoll (USA),USA,Territory
UMI,Kingman Reef,Kingman Reef (USA),USA,Territory
UMI,Midway Islands,Midway Islands (USA),USA,Territory
UMI,Navassa Island,Navassa Island (USA),USA,Territory
MNP,Northern Mariana Is. (USA),Northern Mariana Is. (USA),USA,Territory
UMI,Palmyra Atoll,Palmyra Atoll (USA),USA,Territory
PRI,Puerto Rico (USA),Puerto Rico (USA),USA,Territory
USA,United States of America,United States of America,USA,Member State
VIR,United States Virgin Islands,United States Virgin Islands *,USA,Non-Self Governing Territory
UMI,Wake Island,Wake Island (USA),USA,Territory
UZB,Uzbekistan,Uzbekistan,UZB,Member State
VAT,Holy See,Holy See,VAT,The City of Vatican
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,VCT,Member State
VEN,Venezuela,Venezuela,VEN,Member State
VEN,Bird Island,,VEN,Territory
VNM,Viet Nam,Viet Nam,VNM,Member State
VUT,Vanuatu,Vanuatu,VUT,Member State
WSM,Samoa,Samoa,WSM,Member State
xAB,Abyei,Abyei,xAB,Undetermined
xAC,Aksai Chin,,xAC,Undetermined
xJK,Jammu and Kashmir,Jammu and Kashmir **,xJK,Undetermined
xJL,West Bank,,xJL,Undetermined
xPI,Paracel Islands,,xPI,Undetermined
xSI,Spratly Islands,,xSI,Undetermined
xSR,Scarborough Reef,,xSR,Undetermined
xxx,China/India,,xxx,Undetermined
YEM,Yemen,Yemen,YEM,Member State
ZAF,South Africa,South Africa,ZAF,Member State
ZMB,Zambia,Zambia,ZMB,Member State
ZWE,Zimbabwe,Zimbabwe,ZWE,Member State
