SourceID,Citation,Geographic_scope,Title,Author1,Author 2,Year,Publisher,Link
11,"Bostroem, C. and Bonsdorff, E. (2000). Zoobenthic community establishment and habitat complexity - the importance of seagrass shoot densitiy, morphology and physical disturbance for faunal recruitement. Marine Ecology Progress Series. Available at: https://www.int-res.com/articles/meps/205/m205p123.pdf",Baltic Sea,"Zoobenthic community establishment and habitat complexity - the importance of seagrass shoot densitiy, morphology and physical disturbance for faunal recruitement","Bostroem, C.","Bonsdorff, E.",2000,Marine Ecology Progress Series,https://www.int-res.com/articles/meps/205/m205p123.pdf
12,"Baden, S.P. and Bostroem, C. (2001). The Leaf Canopy of Seagrass Beds: Faunal Community Structure and Function in a Salinity Gradient Along the Swedish Coast. Ecological Studies, Vol. 151. K. Reise (ed.) Ecological Comparisons of Sedimentary Shores. Available at: https://www.researchgate.net/profile/Susanne_Baden/publication/226307428_The_Leaf_Canopy_of_Seagrass_Beds_Faunal_Community_Structure_and_Function_in_a_Salinity_Gradient_Along_the_Swedish_Coast/links/565effe208aefe619b2785e2.pdf",Sweden,The Leaf Canopy of Seagrass Beds: Faunal Community Structure and Function in a Salinity Gradient Along the Swedish Coast,"Baden, S.P.","Bostroem, C.",2001,"Ecological Studies, Vol. 151. K. Reise (ed.) Ecological Comparisons of Sedimentary Shores",https://www.researchgate.net/profile/Susanne_Baden/publication/226307428_The_Leaf_Canopy_of_Seagrass_Beds_Faunal_Community_Structure_and_Function_in_a_Salinity_Gradient_Along_the_Swedish_Coast/links/565effe208aefe619b2785e2.pdf
13,"Grol, M. et al. (2008). Mangroves and seagrass beds do not enhance growth of early juveniles of a coral reef fish. Marine Ecology Progress Series. Available at: https://www.int-res.com/articles/meps2008/366/m366p137.pdf",Caribbean,Mangroves and seagrass beds do not enhance growth of early juveniles of a coral reef fish,"Grol, M.",et al.,2008,Marine Ecology Progress Series,https://www.int-res.com/articles/meps2008/366/m366p137.pdf
14,"Hobbs, J.A. et al. (2010). New records of marine fishes illustrate the biogeographic importance of Christmas Island, Indian Ocean. Zootaxa, Magnolia Press. Available at: https://s3.amazonaws.com/academia.edu.documents/42684636/New_records_of_marine_fishes_illustrate_20160214-15715-1l4pzvy.pdf?response-content-disposition=inline%3B%20filename%3DNew_records_of_marine_fishes_illustrate.pdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWOWYYGZ2Y53UL3A%2F20190726%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20190726T095517Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=77dbc535c054b1a83fcf25e57f88605ff61c123fc61fa0e70e0151b3a4883871",Indian Ocean,"New records of marine fishes illustrate the biogeographic importance of Christmas Island, Indian Ocean","Hobbs, J.A.",et al.,2010,"Zootaxa, Magnolia Press",https://s3.amazonaws.com/academia.edu.documents/42684636/New_records_of_marine_fishes_illustrate_20160214-15715-1l4pzvy.pdf?response-content-disposition=inline%3B%20filename%3DNew_records_of_marine_fishes_illustrate.pdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWOWYYGZ2Y53UL3A%2F20190726%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20190726T095517Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=77dbc535c054b1a83fcf25e57f88605ff61c123fc61fa0e70e0151b3a4883871
15,"Hui, T.H. et al. (2014). Christmas Island and Pulu Keeling Expeditions 2010 to 2012: field work and locality records. Raffles Bulletin of Zoology. Available at: https://www.researchgate.net/profile/Heok_Tan/publication/270280689_Christmas_Island_and_Pulu_Keeling_Expeditions_2010_to_2012_field_work_and_locality_records/links/54a65be40cf257a63608f043.pdf",Christmas Island,Christmas Island and Pulu Keeling Expeditions 2010 to 2012: field work and locality records,"Hui, T.H.",et al.,2014,Raffles Bulletin of Zoology,https://www.researchgate.net/profile/Heok_Tan/publication/270280689_Christmas_Island_and_Pulu_Keeling_Expeditions_2010_to_2012_field_work_and_locality_records/links/54a65be40cf257a63608f043.pdf
16,"Williams, D.G. (1994). Marine habitats of the Cocos (Keeling) Islands. National Museum of Natural History, Washington D.C., USA. Available at: https://repository.si.edu/bitstream/handle/10088/5931/00406.pdf",Cocos (Keeling) Island,Marine habitats of the Cocos (Keeling) Islands,"Williams, D.G.",,1994,"National Museum of Natural History, Washington D.C., USA",https://repository.si.edu/bitstream/handle/10088/5931/00406.pdf
17,"Ellison, J.C. (2009). Wetlands of the Pacific Island region. Wetlands Ecology Management. Available at: https://link.springer.com/content/pdf/10.1007%2Fs11273-008-9097-3.pdf",Pacific,Wetlands of the Pacific Island region,"Ellison, J.C.",,2009,Wetlands Ecology Management,https://link.springer.com/content/pdf/10.1007%2Fs11273-008-9097-3.pdf
18,"N'Yeurt, A.R. and Payri, C. E. (2004). A preliminary annotated checklist of the marine algae and seagrasses of the Wallis Islands (French Overseas Territory of Wallis and Futuna), South Pacific. Australian Systematic Botany. Available at: https://www.publish.csiro.au/SB/SB03027",Wallis Island,"A preliminary annotated checklist of the marine algae and seagrasses of the Wallis Islands (French Overseas Territory of Wallis and Futuna), South Pacific","N'Yeurt, A.R.","Payri, C. E.",2004,Australian Systematic Botany,https://www.publish.csiro.au/SB/SB03027
19,"Hily, C. et al. (2010). Les Herbiers de Phanerogames marines de l'outre-mer francais. IFRECOR, Conservatoire du littoral. Available at: http://www.observatoire-eau-martinique.fr/les-outils/atoumo/pdf_frise/Atlas_herbiers_outre_mer_francais_IFRECOR____47_2010_2-web.pdf",French Overseas Territories,Les Herbiers de Phanerogames marines de l'outre-mer francais,"Hily, C.",et al.,2010,"IFRECOR, Conservatoire du littoral",http://www.observatoire-eau-martinique.fr/les-outils/atoumo/pdf_frise/Atlas_herbiers_outre_mer_francais_IFRECOR____47_2010_2-web.pdf
20,"Titley-O'Neil, C. P. et al. (2011). The Relationship between imposex and tributyltin (TBT) concentration in Strombus gigas from the British Virgin Islands. Bulletin of Marine Science. Available at: https://www.ingentaconnect.com/content/umrsmas/bullmar/2011/00000087/00000003/art00009?crawler=true&mimetype=application/pdf",British Virgin Islands,The Relationship between imposex and tributyltin (TBT) concentration in Strombus gigas from the British Virgin Islands,"Titley-O'Neil, C. P.",et al.,2011,Bulletin of Marine Science,https://www.ingentaconnect.com/content/umrsmas/bullmar/2011/00000087/00000003/art00009?crawler=true&mimetype=application/pdf
21,"Willette, D.A. and Ambrose, R. F. (2009). The distribution and expansion of the invasive segrass Halophila stipulacea in Dominica, West Indies, with a preliminary report from St. Lucia. Aquatic Botany. Available at: https://www.sciencedirect.com/science/article/pii/S0304377009000539","Dominica, St. Lucia","The distribution and expansion of the invasive segrass Halophila stipulacea in Dominica, West Indies, with a preliminary report from St. Lucia","Willette, D.A.","Ambrose, R. F.",2009,Aquatic Botany,https://www.sciencedirect.com/science/article/pii/S0304377009000539
22,"Steiner, S.C.C. et al. (2010). The distribution of seagrasses in Dominica, Lesser Antilles. Revista de Biologia Tropical. Available at: https://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442010000700009",Dominica,"The distribution of seagrasses in Dominica, Lesser Antilles","Steiner, S.C.C.",et al.,2010,Revista de Biologia Tropical,https://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442010000700009
23,"Almada-Villela, P. et al. (2002). Status of Coral Reefs of Mesoamerica - Mexico, Belize, Guatemala, Honduras, Nicaragua and El Salvador. Status of coral reefs of the World. Available at: https://www.researchgate.net/profile/Melanie_Mcfield/publication/238328086_State_of_the_Coastal_Zone_report/links/5517602b0cf2d70ee2779294.pdf",Mesoamerica,"Status of Coral Reefs of Mesoamerica - Mexico, Belize, Guatemala, Honduras, Nicaragua and El Salvador","Almada-Villela, P.",et al.,2002,Status of coral reefs of the World,https://www.researchgate.net/profile/Melanie_Mcfield/publication/238328086_State_of_the_Coastal_Zone_report/links/5517602b0cf2d70ee2779294.pdf
24,"Cortes, J. (2007). Chapter 7: Coastal morphology and coral reefs. CRC Press; Central America: Geology, Resources and Hazards; Bundschuh & Alvarado (eds). Available at: https://www.researchgate.net/profile/Jorge_Cortes2/publication/287645775_Coastal_morphology_and_coral_reefs/links/56784f2408aebcdda0ebd249.pdf",Central America,Chapter 7: Coastal morphology and coral reefs,"Cortes, J.",,2007,"CRC Press; Central America: Geology, Resources and Hazards; Bundschuh & Alvarado (eds)",https://www.researchgate.net/profile/Jorge_Cortes2/publication/287645775_Coastal_morphology_and_coral_reefs/links/56784f2408aebcdda0ebd249.pdf
25,"Githaiga, M.N. et al. (2016). Biomass and productivity of seagrasses in Africa. Botanica Marina. Available at: https://www.researchgate.net/profile/Jorge_Cortes2/publication/287645775_Coastal_morphology_and_coral_reefs/links/56784f2408aebcdda0ebd249.pdf",Africa,Biomass and productivity of seagrasses in Africa,"Githaiga, M.N.",et al.,2016,Botanica Marina,https://www.researchgate.net/profile/Jorge_Cortes2/publication/287645775_Coastal_morphology_and_coral_reefs/links/56784f2408aebcdda0ebd249.pdf
26,"Bull, J.C. et al. (2010). Recent los of Gibraltar seagrasses. Botanica Marina. Available at: https://www.researchgate.net/profile/James_Bull4/publication/257420930_Recent_loss_of_Gibraltar_seagrasses/links/5bb1edfca6fdccd3cb80afc6/Recent-loss-of-Gibraltar-seagrasses.pdf",Gibraltar,Recent los of Gibraltar seagrasses,"Bull, J.C.",et al.,2010,Botanica Marina,https://www.researchgate.net/profile/James_Bull4/publication/257420930_Recent_loss_of_Gibraltar_seagrasses/links/5bb1edfca6fdccd3cb80afc6/Recent-loss-of-Gibraltar-seagrasses.pdf
27,"Sheehan, E.V. et al. (2013). Epibenthic Assessment of a Renewable Tidal Energy Site. Hindawi Publishing Corporation, The Scientific World Journal. Available at: https://www.scienceopen.com/document_file/64706201-07ca-4ba2-b4f8-aa45210634da/PubMedCentral/64706201-07ca-4ba2-b4f8-aa45210634da.pdf",Guernsey,Epibenthic Assessment of a Renewable Tidal Energy Site,"Sheehan, E.V.",et al.,2013,"Hindawi Publishing Corporation, The Scientific World Journal",https://www.scienceopen.com/document_file/64706201-07ca-4ba2-b4f8-aa45210634da/PubMedCentral/64706201-07ca-4ba2-b4f8-aa45210634da.pdf
28,GRID-Arendal (2019). ResilienSEA. GRID-Arendal. Available at: https://resiliensea.org/,Africa,ResilienSEA,GRID-Arendal,,2019,GRID-Arendal,https://resiliensea.org/
29,"Jones, B. L. and Unsworth, R. K. F. (2015). The perilous state of seagrass in the British Isles. Royal society open science. Available at: https://royalsocietypublishing.org/doi/pdf/10.1098/rsos.150596",British Isles,The perilous state of seagrass in the British Isles,"Jones, B. L.","Unsworth, R. K. F.",2015,Royal society open science,https://royalsocietypublishing.org/doi/pdf/10.1098/rsos.150596
30,"Jackson, E.L. et al. (2006). Seagrass complexity hierarchies: influence on fish groups around the coast of Jersey (English Channel). Journal of Experimental Marine Biology and Ecology. Available at: https://www.sciencedirect.com/science/article/pii/S0022098105005988",Jersey,Seagrass complexity hierarchies: influence on fish groups around the coast of Jersey (English Channel),"Jackson, E.L.",et al.,2006,Journal of Experimental Marine Biology and Ecology,https://www.sciencedirect.com/science/article/pii/S0022098105005988
31,"Macic, V. (2012). Characteristics of Posidonia oceanica Delile seagrass meadows in the Southeast Adriatic Sea of Montenegro. Biologia Serbica. Available at: https://ojs.pmf.uns.ac.rs/index.php/dbe_serbica/article/viewFile/1286/12","Adriatic Sea, Montenegro",Characteristics of Posidonia oceanica Delile seagrass meadows in the Southeast Adriatic Sea of Montenegro,"Macic, V.",,2012,Biologia Serbica,https://ojs.pmf.uns.ac.rs/index.php/dbe_serbica/article/viewFile/1286/12
32,"Antovic, N. M. and Antovic, I. (2010). Levels of 232Th activity in the South Adriatic Sea marine environment of Montenegro. J Radioanal Nucl Chem. Available at: https://link.springer.com/content/pdf/10.1007/s10967-010-0512-x.pdf","Adriatic Sea, Montenegro",Levels of 232Th activity in the South Adriatic Sea marine environment of Montenegro,"Antovic, N. M.","Antovic, I.",2010,J Radioanal Nucl Chem,https://link.springer.com/content/pdf/10.1007/s10967-010-0512-x.pdf
33,"Gell, F. and Watson, M. (2000). UK Overseas Territories in the Northeast Caribbean: Anguilla, British Virgin Islands, Montserrat. Seas at The Millenium: An Environmental Evaluation (edited by C Sheppard). Available at: http://pubs.iclarm.net/resource_centre/WF-1627.pdf",UK Overseas Territories,"UK Overseas Territories in the Northeast Caribbean: Anguilla, British Virgin Islands, Montserrat","Gell, F.","Watson, M.",2000,Seas at The Millenium: An Environmental Evaluation (edited by C Sheppard),http://pubs.iclarm.net/resource_centre/WF-1627.pdf
34,"Jacob, P. (2002). The status of marine resources and coral reefs of Nauru. Coral reefs in the Pacific: status and monitoring; resources and management. Available at: https://www.sprep.org/att/IRC/eCOPIES/Countries/Nauru/3.pdf",Nauru,The status of marine resources and coral reefs of Nauru,"Jacob, P.",,2002,Coral reefs in the Pacific: status and monitoring; resources and management,https://www.sprep.org/att/IRC/eCOPIES/Countries/Nauru/3.pdf
35,"Kolinski, S.P. et al. (2001). An assessment of the sea turtles and their marine and terrestrial habitats at Saipan, Commonwealth of the Northern Mariana Islands. Micronesica 24. Available at: https://micronesica.org/sites/default/files/6_kolinski_et_al.pdf",Northern Mariana Islands,"An assessment of the sea turtles and their marine and terrestrial habitats at Saipan, Commonwealth of the Northern Mariana Islands","Kolinski, S.P.",et al.,2001,Micronesica 24,https://micronesica.org/sites/default/files/6_kolinski_et_al.pdf
36,"Lee, S.Y. (1997). Annual cycle of biomass of a threatened population of the intertidal seagrass Zostera japonica in Hong Kong. Marine Biology. Available at: https://link.springer.com/content/pdf/10.1007/s002270050159.pdf",Hong Kong,Annual cycle of biomass of a threatened population of the intertidal seagrass Zostera japonica in Hong Kong,"Lee, S.Y.",,1997,Marine Biology,https://link.springer.com/content/pdf/10.1007/s002270050159.pdf
37,"Huang, X. et al. (2006). Main seagrass beds and threats to their habitats in the coastal sea of South China. Chinese Science Bulletin. Available at: https://link.springer.com/article/10.1007/s11434-006-9136-5",South China,Main seagrass beds and threats to their habitats in the coastal sea of South China,"Huang, X.",et al.,2006,Chinese Science Bulletin,https://link.springer.com/article/10.1007/s11434-006-9136-5
38,"Montoya, H. (2009). Algal and cyanobacterial saline biofilms of the Grande Coastal Lagoon, Lima, Peru. Natural Resources and Environmental Issues. Volume 15: Saline Lakes around the world: Unique systems with Unique Values. Available at: https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=1289&context=nrei",Peru,"Algal and cyanobacterial saline biofilms of the Grande Coastal Lagoon, Lima, Peru","Montoya, H.",,2009,Natural Resources and Environmental Issues. Volume 15: Saline Lakes around the world: Unique systems with Unique Values,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=1289&context=nrei
39,"Jimenez, A. et al. (2017). Feeding ecology of the green turtle Chelonia mydas in Northern Peru. Latin American Journal of aquatic research. Available at: https://scielo.conicyt.cl/scielo.php?pid=S0718-560X2017000300008&script=sci_arttext&tlng=e",Peru,Feeding ecology of the green turtle Chelonia mydas in Northern Peru,"Jimenez, A.",et al.,2017,Latin American Journal of aquatic research,https://scielo.conicyt.cl/scielo.php?pid=S0718-560X2017000300008&script=sci_arttext&tlng=e
40,"Irving, R. and Dawson, T. (2013). Coral Reefs of the Pitcairn Islands. Coral Reefs of the United Kingdom Oversaeas Territories, Coral Reefs of the World 4. Available at: https://www.researchgate.net/profile/Robert_Irving2/publication/260655920_The_coral_reefs_of_the_Pitcairn_Islands/links/542059bf0cf203f155c58eca.pdf",Pitcairn Islands,Coral Reefs of the Pitcairn Islands,"Irving, R.","Dawson, T.",2013,"Coral Reefs of the United Kingdom Oversaeas Territories, Coral Reefs of the World 4",https://www.researchgate.net/profile/Robert_Irving2/publication/260655920_The_coral_reefs_of_the_Pitcairn_Islands/links/542059bf0cf203f155c58eca.pdf
41,"Long, B.G. and Skewes, T. D. (1993). An efficient method for estimating seagrass biomass. Aquatic Botany. Available at: https://www.sciencedirect.com/science/article/pii/0304377094900582",Australia,An efficient method for estimating seagrass biomass,"Long, B.G.","Skewes, T. D.",1993,Aquatic Botany,https://www.sciencedirect.com/science/article/pii/0304377094900582
42,"van Tussenbroek, B.I. et al. (2016). Non-native seagrass Halophila stipulacea forms dense mats under eutrophic conditions in the Caribbean. Journal of Sea Research. Available at: http://tjisse.van-der-heide.com/wp-content/uploads/2016/09/Van-Tussenbroek-et-al-Journal-of-Sea-Research-2016.pdf",Caribbean,Non-native seagrass Halophila stipulacea forms dense mats under eutrophic conditions in the Caribbean,"van Tussenbroek, B.I.",et al.,2016,Journal of Sea Research,http://tjisse.van-der-heide.com/wp-content/uploads/2016/09/Van-Tussenbroek-et-al-Journal-of-Sea-Research-2016.pdf
43,"Bervoets, T. (2013). Results of Nature Foundation Research into invasive seagrass H. Stipulacea in the Simpson Bay Lagoon. Nature Foundation. Available at: http://dcnanature.org/wp-content/uploads/reports/Bervoets-2013-H-stipulacea-report.pdf",St. Maarten,Results of Nature Foundation Research into invasive seagrass H. Stipulacea in the Simpson Bay Lagoon,"Bervoets, T.",,2013,Nature Foundation,http://dcnanature.org/wp-content/uploads/reports/Bervoets-2013-H-stipulacea-report.pdf
44,"Iranger, E. (1997). Caribbean Island states: Perils and prospects in a changing global environment. Journal of Coastal Research. Available at: https://www.jstor.org/stable/pdf/25736088.pdf?casa_token=De0MpnLKblAAAAAA:1ArD41-tT-5hzu-FTn5BKqTG57axc3bwfqtlqtAPjC0LM9Lt1qt6Cogjz9mMfWAXgwepAYpfIILanGYAwx6bshP6_GQSAm_sXMNKR61N6lLXQIVzdHce",Caribbean,Caribbean Island states: Perils and prospects in a changing global environment,"Iranger, E.",,1997,Journal of Coastal Research,https://www.jstor.org/stable/pdf/25736088.pdf?casa_token=De0MpnLKblAAAAAA:1ArD41-tT-5hzu-FTn5BKqTG57axc3bwfqtlqtAPjC0LM9Lt1qt6Cogjz9mMfWAXgwepAYpfIILanGYAwx6bshP6_GQSAm_sXMNKR61N6lLXQIVzdHce
45,"Kuo, Y.M. and Lin, H.J. (2010). Dynamic factor analysis of long-term growth trends of the intertidal seagrass Thalassia hemprichii in southern Taiwan. Estuarine, Coastal and Shelf Science. Available at: http://www.evergladeshub.com/lit/pdf10/Kuo'10EstCoastShelfSci-134-SeagrassTaiwan.pdf",Taiwan,Dynamic factor analysis of long-term growth trends of the intertidal seagrass Thalassia hemprichii in southern Taiwan,"Kuo, Y.M.","Lin, H.J.",2010,"Estuarine, Coastal and Shelf Science",http://www.evergladeshub.com/lit/pdf10/Kuo'10EstCoastShelfSci-134-SeagrassTaiwan.pdf
46,"Lin, H.J. and Hsieh, L.Y. (2005). Seagrasses of Tongsha Island, with descriptions of four new records to Taiwan. Botanical Bulletin of Academia Sinica. Available at: https://ejournal.sinica.edu.tw/bbas/content/2005/2/Bot462-10.html","Taiwan, Tongsha Island","Seagrasses of Tongsha Island, with descriptions of four new records to Taiwan","Lin, H.J.","Hsieh, L.Y.",2005,Botanical Bulletin of Academia Sinica,https://ejournal.sinica.edu.tw/bbas/content/2005/2/Bot462-10.html
47, et al. (2013). Ecoregional scale seagrass mapping: A tool to support resilient MPA network design in the Coral Triangle. Ocean & Coastal Management. Available at: https://www.sciencedirect.com/science/article/pii/S0964569113000951#fig2,Coral Triangle,Ecoregional scale seagrass mapping: A tool to support resilient MPA network design in the Coral Triangle,,et al.,2013,Ocean & Coastal Management,https://www.sciencedirect.com/science/article/pii/S0964569113000951#fig2
48,"Brodie, G. and De Ramon N'Yeurt, A. (2018). Effects of Climate Change on seagrasses and seagrass habitats relevant to the Pacific Islands. Pacific Marine climate change report card, Commonwealth Marine Economies Programme. Available at: https://www.researchgate.net/profile/Antoine_De_Ramon_NYeurt/publication/325642588_Effects_of_Climate_Change_on_Seagrasses_and_Seagrass_Habitats_Relevant_to_the_Pacific_Islands/links/5b19ea32a6fdcca67b660319/Effects-of-Climate-Change-on-Seagrasses-and-Seagrass-Habitats-Relevant-to-the-Pacific-Islands.pdf",Pacific,Effects of Climate Change on seagrasses and seagrass habitats relevant to the Pacific Islands,"Brodie, G.","De Ramon N'Yeurt, A.",2018,"Pacific Marine climate change report card, Commonwealth Marine Economies Programme",https://www.researchgate.net/profile/Antoine_De_Ramon_NYeurt/publication/325642588_Effects_of_Climate_Change_on_Seagrasses_and_Seagrass_Habitats_Relevant_to_the_Pacific_Islands/links/5b19ea32a6fdcca67b660319/Effects-of-Climate-Change-on-Seagrasses-and-Seagrass-Habitats-Relevant-to-the-Pacific-Islands.pdf
49,"Stoddart, D.R. (1992). Biogeography of the Tropicial Pacific. Pacific Science. Available at: https://scholarspace.manoa.hawaii.edu/bitstream/10125/727/v46n2-276-293.pdf",Tropical Pacific,Biogeography of the Tropicial Pacific,"Stoddart, D.R.",,1992,Pacific Science,https://scholarspace.manoa.hawaii.edu/bitstream/10125/727/v46n2-276-293.pdf
50,"Billah, M. et al. (2016). Saltmarsh and seagrass beds on the south-eastern coast of Bangladesh: vegetation characteristics and adjacent fisheries diversity. Zoology and Ecology. Available at: https://www.researchgate.net/profile/Md_Billah3/publication/307375053_Saltmarsh_and_seagrass_beds_on_the_south-eastern_coast_of_Bangladesh_vegetation_characteristics_and_adjacent_fisheries_diversity/links/59228928aca27295a8a648eb/Saltmarsh-and-seagrass-beds-on-the-south-eastern-coast-of-Bangladesh-vegetation-characteristics-and-adjacent-fisheries-diversity.pdf",Bangladesh,Saltmarsh and seagrass beds on the south-eastern coast of Bangladesh: vegetation characteristics and adjacent fisheries diversity,"Billah, M.",et al.,2016,Zoology and Ecology,https://www.researchgate.net/profile/Md_Billah3/publication/307375053_Saltmarsh_and_seagrass_beds_on_the_south-eastern_coast_of_Bangladesh_vegetation_characteristics_and_adjacent_fisheries_diversity/links/59228928aca27295a8a648eb/Saltmarsh-and-seagrass-beds-on-the-south-eastern-coast-of-Bangladesh-vegetation-characteristics-and-adjacent-fisheries-diversity.pdf
51,"Copertino, M.S. et al. (2016). Seagrass and submerged aquatic vegetation (VAS) Habitats off the coast of Brazil: state of knowledge, conservation and main threats. Brazilian Journal of Oceanography. Available at: http://www.scielo.br/pdf/bjoce/v64nspe2/1679-8759-bjoce-64-spe2-0053.pdf",Brazil,"Seagrass and submerged aquatic vegetation (VAS) Habitats off the coast of Brazil: state of knowledge, conservation and main threats","Copertino, M.S.",et al.,2016,Brazilian Journal of Oceanography,http://www.scielo.br/pdf/bjoce/v64nspe2/1679-8759-bjoce-64-spe2-0053.pdf
52,"Tyllianakis, E. et al. (2019). The value of information: Realising the economic benefits of mapping seagrass meadows in the British Virgin Islands. Science of The Total Environment. Available at: https://www.sciencedirect.com/science/article/pii/S0048969718337471",British Virgin Islands,The value of information: Realising the economic benefits of mapping seagrass meadows in the British Virgin Islands,"Tyllianakis, E.",et al.,2019,Science of The Total Environment,https://www.sciencedirect.com/science/article/pii/S0048969718337471
