species_id,scientific_name,IUCN_Genus,IUCN_Species,redlist_status,Timestamp_redlist,common_name,Comment
153,Acropora stoddarti,Acropora,stoddarti,DD,Jan-08,,
154,Acropora striata,Acropora,striata,VU,Jan-08,,
155,Acropora subglabra,Acropora,subglabra,LC,Jan-08,,
156,Acropora subulata,Acropora,subulata,LC,Jan-08,,
157,Acropora suharsonoi,Acropora,suharsonoi,EN,Jan-08,,
158,Acropora sukarnoi,Acropora,sukarnoi,DD,Jan-08,,
159,Acropora tanegashimensis,Acropora,tanegashimensis,DD,Jan-08,,
160,Acropora tenella,Acropora,tenella,VU,Jan-08,,
161,Acropora tenuis,Acropora,macrostoma,DD,Jan-08,,
162,Acropora tenuis,Acropora,plana,DD,Jan-08,,Synonym to other species
163,Acropora tenuis,Acropora,tenuis,NT,Jan-08,,Synonym to other species
164,Acropora teres,Acropora,teres,DD,Jan-08,,
165,Acropora torihalimeda,Acropora,torihalimeda,DD,Jan-08,,
166,Acropora tortuosa,Acropora,tortuosa,LC,Jan-08,,
167,Acropora tumida,Acropora,tumida,DD,Jan-08,,
168,Acropora turaki,Acropora,turaki,VU,Jan-08,,
169,Acropora valenciennesi,Acropora,valenciennesi,LC,Jan-08,,
170,Acropora valida,Acropora,parapharaonis,DD,Jan-08,,Synonym to other species
171,Acropora valida,Acropora,valida,LC,Jan-08,,Synonym to other species
172,Acropora valida,Acropora,variabilis,DD,Jan-08,,Synonym to other species
173,Acropora variolosa,Acropora,variolosa,LC,Jan-08,,
174,Acropora vaughani,Acropora,vaughani,VU,Jan-08,,
175,Acropora verweyi,Acropora,verweyi,VU,Jan-08,,
176,Acropora walindii,Acropora,walindii,VU,Jan-08,,
177,Acropora willisae,Acropora,willisae,VU,Jan-08,,
178,Acropora yongei,Acropora,yongei,LC,Jan-08,,
179,Agaricia agaricites,Agaricia,agaricites,LC,Jan-08,,
180,Agaricia fragilis,Agaricia,fragilis,DD,Jan-08,,
181,Agaricia grahamae,Agaricia,grahamae,LC,Jan-08,,
182,Agaricia humilis,Agaricia,humilis,LC,Jan-08,,
183,Agaricia lamarcki,Agaricia,lamarcki,VU,Jan-08,,
184,Agaricia tenuifolia,Agaricia,tenuifolia,NT,Jan-08,,
185,Agaricia undata,Agaricia,undata,DD,Jan-08,,
186,Alveopora allingi,Alveopora,allingi,VU,Jan-08,,
187,Alveopora catalai,Alveopora,catalai,VU,Jan-08,,
188,Alveopora daedalea,Alveopora,daedalea,VU,Jan-08,,
189,Alveopora excelsa,Alveopora,excelsa,EN,Jan-08,,
190,Alveopora fenestrata,Alveopora,fenestrata,VU,Jan-08,,
191,Alveopora gigas,Alveopora,gigas,VU,Jan-08,Thin Leaf Lettuce Coral,
192,Alveopora japonica,Alveopora,japonica,VU,Jan-08,,
193,Alveopora marionensis,Alveopora,marionensis,VU,Jan-08,,
194,Alveopora minuta,Alveopora,minuta,EN,Jan-08,,
195,Alveopora ocellata,Alveopora,ocellata,DD,Jan-08,,
196,Alveopora spongiosa,Alveopora,spongiosa,NT,Jan-08,,
197,Alveopora tizardi,Alveopora,tizardi,LC,Jan-08,,
198,Alveopora verrilliana,Alveopora,verrilliana,VU,Jan-08,,
199,Alveopora viridis,Alveopora,viridis,NT,Jan-08,,
200,Anacropora forbesi,Anacropora,forbesi,LC,Jan-08,,
201,Anacropora matthai,Anacropora,matthai,VU,Jan-08,,
202,Anacropora pillai,Anacropora,pillai,DD,Jan-08,,
203,Anacropora puertogalerae,Anacropora,puertogalerae,VU,Jan-08,,
204,Anacropora reticulata,Anacropora,reticulata,VU,Jan-08,,
205,Anacropora spinosa,Anacropora,spinosa,EN,Jan-08,,
206,Anacropora spumosa,Anacropora,spumosa,DD,Jan-08,,
207,Anomastraea irregularis,Anomastraea,irregularis,VU,Jan-08,,
208,Astrangia poculata,Astrangia,poculata,LC,Jan-08,,
209,Astrea annuligera,Astrea,annuligera,NE,N/A,,
210,Astrea annuligera,Montastrea,annuligera,NT,Jan-08,,
211,Astrea curta,Astrea,curta,NE,N/A,,
212,Astrea curta,Montastrea,curta,LC,Jan-08,,
213,Astrea devantieri,Astrea,devantieri,NE,N/A,,
214,Astrea devantieri,Plesiastrea,devantieri,NT,Jan-08,,
215,Astrea rotulosa,Astrea,rotulosa,NE,N/A,,
216,Astreopora acroporina,Astreopora,acroporina,NE,N/A,,
217,Astreopora cenderawasih,Astreopora,cenderawasih,NE,N/A,,
218,Astreopora cucullata,Astreopora,cucullata,VU,Jan-08,,
219,Astreopora expansa,Astreopora,expansa,NT,Jan-08,,
220,Astreopora gracilis,Astreopora,gracilis,LC,Jan-08,,
221,Astreopora incrustans,Astreopora,incrustans,VU,Jan-08,,
222,Astreopora listeri,Astreopora,listeri,LC,Jan-08,,
223,Astreopora macrostoma,Astreopora,macrostoma,NT,Jan-08,,
224,Astreopora monteporina,Astreopora,monteporina,NE,N/A,,
225,Astreopora moretonensis,Astreopora,moretonensis,VU,Jan-08,,
226,Astreopora myriophthalma,Astreopora,eliptica,DD,Jan-08,,Synonym to other species
227,Astreopora myriophthalma,Astreopora,myriophthalma,LC,Jan-08,,
228,Astreopora ocellata,Astreopora,ocellata,LC,Jan-08,,
229,Astreopora randalli,Astreopora,randalli,LC,Jan-08,,
230,Astreopora scabra,Astreopora,scabra,LC,Jan-08,,
231,Astreopora suggesta,Astreopora,suggesta,LC,Jan-08,,
232,Australogyra zelli,Australogyra,zelli,VU,Jan-08,,
233,Australophyllia wilsoni,Symphyllia,wilsoni,LC,Jan-08,,Different genus
234,Balanophyllia (Balanophyllia) europaea,Balanophyllia,europaea,LC,Jan-08,,Different genus
235,Bernardpora stutchburyi,Bernardpora,stutchburyi,NE,N/A,,
236,Bernardpora stutchburyi,Goniopora,stutchburyi,LC,Jan-08,,
237,Blastomussa loyae,Blastomussa,loyae,EN,Jan-08,,
238,Blastomussa merleti,Blastomussa,merleti,LC,Jan-08,,
239,Blastomussa omanensis,Blastomussa,omanensis,NE,N/A,,
240,Blastomussa vivida,Blastomussa,vivida,NE,N/A,,
241,Blastomussa wellsi,Blastomussa,wellsi,NT,Jan-08,,
242,Boninastrea boninensis,Boninastrea,boninensis,DD,Jan-08,Tooth coral,
243,Cantharellus doederleini,Cantharellus,doederleini,LC,Jan-08,,
244,Cantharellus jebbi,Cantharellus,jebbi,LC,Jan-08,,
245,Cantharellus noumeae,Cantharellus,noumeae,EN,Jan-08,,
246,Catalaphyllia jardinei,Catalaphyllia,jardinei,VU,Jan-08,,
247,Caulastraea connata,Caulastrea,connata,VU,Jan-08,,spelling
248,Caulastraea curvata,Caulastrea,curvata,VU,Jan-08,,spelling
249,Caulastraea echinulata,Caulastrea,echinulata,VU,Jan-08,,spelling
250,Caulastraea furcata,Caulastrea,furcata,LC,Jan-08,,spelling
251,Caulastraea tumida,Caulastrea,tumida,NT,Jan-08,,spelling
252,Cladocora arbuscula,Cladocora,arbuscula,LC,Jan-08,,
253,Cladocora caespitosa,Cladocora,caespitosa,EN,Jan-08,,
254,Coelastrea aspera,Goniastrea,aspera,LC,Jan-08,,Different genus
255,Coelastrea palauensis,Goniastrea,palauensis,NT,Jan-08,,Different genus
256,Coeloseris mayeri,Coeloseris,mayeri,LC,Jan-08,,
257,Colpophyllia natans,Colpophyllia,natans,LC,Jan-08,,
258,Coscinaraea columna,Coscinaraea,columna,LC,Jan-08,,
259,Coscinaraea crassa,Coscinaraea,crassa,NT,Jan-08,,
260,Coscinaraea exesa,Coscinaraea,exesa,LC,Jan-08,,
261,Coscinaraea hahazimaensis,Coscinaraea,hahazimaensis,VU,Jan-08,,
262,Coscinaraea marshae,Coscinaraea,marshae,LC,Jan-08,,
263,Coscinaraea mcneilli,Coscinaraea,mcneilli,LC,Jan-08,,
264,Coscinaraea monile,Coscinaraea,monile,LC,Jan-08,,
265,Craterastrea levis,Craterestrea,levis,LC,Jan-08,,Spelling
266,Ctenactis albitentaculata,Ctenactis,albitentaculata,NT,Jan-08,,
267,Ctenactis crassa,Ctenactis,crassa,LC,Jan-08,,
268,Ctenactis echinata,Ctenactis,echinata,LC,Jan-08,,
269,Ctenella chagius,Ctenella,chagius,EN,Jan-08,,
270,Cycloseris boschmai,Cycloseris,boschmai,NE,N/A,,
271,Cycloseris costulata,Cycloseris,costulata,NE,N/A,,
272,Cycloseris costulata,Fungia,costulata,LC,Jan-08,,
273,Cycloseris curvata,Cycloseris,curvata,NE,N/A,,
274,Cycloseris curvata,Fungia,curvata,VU,Jan-08,,
275,Cycloseris cyclolites,Cycloseris,cyclolites,VU,Jan-08,,
276,Cycloseris cyclolites,Fungia,cyclolites,LC,Jan-08,,
277,Cycloseris distorta,Fungia,distorta,LC,Jan-08,,Different genus
278,Cycloseris explanulata,Psammocora,explanulata,LC,Jan-08,,Different genus
279,Cycloseris fragilis,Fungia,fragilis,LC,Jan-08,,Synonym to other species
280,Cycloseris mokai,Cycloseris,mokai,NE,N/A,,
281,Cycloseris mokai,Lithophyllon,mokai,LC,Jan-08,,
282,Cycloseris sinensis,Cycloseris,sinensis,LC,Jan-08,,
283,Cycloseris sinensis,Fungia,sinensis,LC,Jan-08,,
284,Cycloseris somervillei,Cycloseris,somervillei,LC,Jan-08,,
285,Cycloseris somervillei,Fungia,somervillei,LC,Jan-08,,
286,Cycloseris tenuis,Cycloseris,tenuis,LC,Jan-08,,
287,Cycloseris tenuis,Fungia,tenuis,LC,Jan-08,,
288,Cycloseris vaughani,Cycloseris,vaughani,LC,Jan-08,,
289,Cycloseris vaughani,Fungia,vaughani,LC,Jan-08,,
290,Cycloseris wellsi,Coscinaraea,wellsi,LC,Jan-08,,Different genus
291,Cynarina lacrymalis,Cynarina,lacrymalis,NT,Jan-08,,
292,Cynarina macassarensis,Indophyllia,macassarensis,DD,Jan-08,,Different genus
293,Cyphastrea agassizi,Cyphastrea,agassizi,VU,Jan-08,,
294,Cyphastrea chalcidicum,Cyphastrea,chalcidicum,LC,Jan-08,,
295,Cyphastrea decadia,Cyphastrea,decadia,LC,Jan-08,,
296,Cyphastrea hexasepta,Cyphastrea,hexasepta,VU,Jan-08,,
297,Cyphastrea japonica,Cyphastrea,japonica,LC,Jan-08,,
298,Cyphastrea kausti,Cyphastrea,kausti,NE,N/A,,
299,Cyphastrea microphthalma,Cyphastrea,microphthalma,LC,Jan-08,,
300,Cyphastrea ocellina,Cyphastrea,ocellina,VU,Jan-08,,
301,Cyphastrea serailia,Cyphastrea,serailia,LC,Jan-08,,
302,Danafungia horrida,Fungia,horrida,LC,Jan-08,,Different genus
303,Danafungia scruposa,Fungia,scruposa,LC,Jan-08,,Different genus
304,Dendrogyra cylindrus,Dendrogyra,cylindrus,VU,Jan-08,,
305,Dichocoenia stokesii,Dichocoenia,stellaris,DD,Jan-08,,
306,Dichocoenia stokesii,Dichocoenia,stokesii,VU,Jan-08,,
307,Diploastrea heliopora,Diploastrea,heliopora,NT,Jan-08,,
308,Diploria labyrinthiformis,Diploria,labyrinthiformis,LC,Jan-08,,
309,Dipsastraea albida,Favia,albidus,NT,Jan-08,,Different genus
310,Dipsastraea amicorum,Dipsastraea,amicorum,NE,N/A,,
311,Dipsastraea danai,Dipsastraea,danai,NE,N/A,,
312,Dipsastraea danai,Favia,danae,LC,Jan-08,,
313,Dipsastraea faviaformis,Acanthastrea,faviaformis,VU,Jan-08,,Different genus
314,Dipsastraea favus,Favia,favus,LC,Jan-08,,Different genus
315,Dipsastraea helianthoides,Favia,helianthoides,NT,Jan-08,,Different genus
316,Dipsastraea lacuna,Favia,lacuna,NT,Jan-08,,Different genus
317,Dipsastraea laddi,Dipsastraea,laddi,NE,N/A,,
318,Dipsastraea laxa,Favia,laxa,NT,Jan-08,,Different genus
319,Dipsastraea lizardensis,Favia,lizardensis,NT,Jan-08,,Different genus
320,Dipsastraea maritima,Favia,maritima,NT,Jan-08,,Different genus
321,Dipsastraea marshae,Favia,marshae,NT,Jan-08,,Different genus
322,Dipsastraea matthaii,Favia,matthaii,NT,Jan-08,,Different genus
323,Dipsastraea maxima,Favia,maxima,NT,Jan-08,,Different genus
324,Dipsastraea pallida,Favia,pallida,LC,Jan-08,,Different genus
325,Dipsastraea rosaria,Favia,rosaria,VU,Jan-08,,Different genus
326,Dipsastraea rotumana,Favia,rotumana,LC,Jan-08,,Different genus
327,Dipsastraea speciosa,Favia,speciosa,LC,Jan-08,,Different genus
328,Dipsastraea truncata,Favia,truncatus,LC,Jan-08,,Different genus
329,Dipsastraea veroni,Favia,veroni,NT,Jan-08,,Different genus
330,Dipsastraea vietnamensis,Favia,vietnamensis,NT,Jan-08,,Different genus
331,Dipsastraea wisseli,Dipsastraea,wisseli,NE,N/A,,
332,Duncanopsammia axifuga,Duncanopsammia,axifuga,NT,Jan-08,,
333,Echinomorpha nishihirai,Echinomorpha,nishihirai,NE,N/A,,
334,Echinophyllia aspera,Echinophyllia,aspera,LC,Jan-08,,
335,Echinophyllia costata,Echinophyllia,costata,VU,Jan-08,,
336,Echinophyllia echinoporoides,Echinophyllia,echinoporoides,LC,Jan-08,,
337,Echinophyllia glabra,Oxypora,glabra,LC,Jan-08,,Different genus
338,Echinophyllia orpheensis,Echinophyllia,orpheensis,LC,Jan-08,,
339,Echinophyllia patula,Echinophyllia,patula,LC,Jan-08,,
340,Echinophyllia pectinata,Echinophyllia,pectinata,DD,Jan-08,,
341,Echinophyllia tarae,Echinophyllia,tarae,NE,N/A,,
342,Echinopora ashmorensis,Echinopora,ashmorensis,VU,Jan-08,,
343,Echinopora forskaliana,Echinopora,forskaliana,NT,Jan-08,,
344,Echinopora fruticulosa,Echinopora,fruticulosa,NT,Jan-08,,
345,Echinopora gemmacea,Echinopora,gemmacea,LC,Jan-08,,
346,Echinopora hirsutissima,Echinopora,hirsutissima,LC,Jan-08,,
347,Echinopora horrida,Echinopora,horrida,NT,Jan-08,,
348,Echinopora irregularis,Echinopora,irregularis,DD,Jan-08,,
349,Echinopora lamellosa,Echinopora,lamellosa,LC,Jan-08,,
350,Echinopora mammiformis,Echinopora,mammiformis,NT,Jan-08,,
351,Echinopora pacifica,Echinopora,pacificus,NT,Jan-08,,Spelling
352,Echinopora robusta,Echinopora,robusta,VU,Jan-08,,
353,Echinopora taylorae,Echinopora,taylorae,NT,Jan-08,,
354,Echinopora tiranensis,Echinopora,tiranensis,DD,Jan-08,,
355,Erythrastrea flabellata,Erythrastrea,flabellata,NT,Jan-08,,
356,Euphyllia baliensis,Euphyllia,baliensis,NE,N/A,,
357,Euphyllia cristata,Euphyllia,cristata,VU,Jan-08,,
358,Euphyllia glabrescens,Euphyllia,glabrescens,NT,Jan-08,,
359,Euphyllia paraglabrescens,Euphyllia,paraglabrescens,VU,Jan-08,,
360,Eusmilia fastigiata,Eusmilia,fastigiata,LC,Jan-08,,
361,Favia fragum,Favia,fragum,LC,Jan-08,,
362,Favia gravida,Favia,gravida,NE,N/A,,
363,Favites abdita,Favites,abdita,NT,Jan-08,,
364,Favites acuticollis,Favites,acuticollis,NT,Jan-08,,
365,Favites chinensis,Favites,chinensis,NT,Jan-08,,
366,Favites colemani,Favites,colemani,NE,N/A,,
367,Favites colemani,Montastrea,colemani,NT,Jan-08,,
368,Favites complanata,Favites,complanata,NT,Jan-08,,
369,Favites flexuosa,Favites,flexuosa,NT,Jan-08,,
370,Favites halicora,Favites,halicora,NT,Jan-08,,
371,Favites magnistellata,Favites,magnistellata,NE,N/A,,
372,Favites magnistellata,Montastrea,magnistellata,NT,Jan-08,,
373,Favites melicerum,Favites,bestae,NT,Jan-08,,Different species
374,Favites micropentagonus,Favites,micropentagona,NT,Jan-08,,Spelling
375,Favites paraflexuosus,Favites,paraflexuosa,NT,Jan-08,,Spelling
376,Favites pentagona,Favites,pentagona,LC,Jan-08,,
377,Favites rotundata,Favia,rotundata,NT,Jan-08,,Different genus
378,Favites spinosa,Favites,spinosa,VU,Jan-08,,
379,Favites stylifera,Favites,stylifera,NT,Jan-08,,
380,Favites valenciennesi,Favites,valenciennesi,NE,N/A,,
381,Favites valenciennesi,Montastrea,valenciennesi,NT,Jan-08,,
382,Favites vasta,Favites,vasta,NT,Jan-08,,
383,Fimbriaphyllia ancora,Euphyllia,ancora,VU,Jan-08,,Different genus
384,Fimbriaphyllia divisa,Euphyllia,divisa,NT,Jan-08,,Different genus
385,Fimbriaphyllia paraancora,Euphyllia,paraancora,VU,Jan-08,,Different genus
386,Fimbriaphyllia paradivisa,Euphyllia,paradivisa,VU,Jan-08,,Different genus
387,Fimbriaphyllia yaeyamensis,Euphyllia,yaeyamaensis,NT,Jan-08,,Different genus
388,Fungia fungites,Fungia,fungites,NT,Jan-08,,
389,Fungia puishani,Fungia,puishani,DD,Jan-08,,
390,Galaxea acrhelia,Galaxea,acrhelia,VU,Jan-08,,
391,Galaxea astreata,Galaxea,astreata,VU,Jan-08,,
392,Galaxea cryptoramosa,Galaxea,cryptoramosa,VU,Jan-08,,
393,Galaxea fascicularis,Galaxea,fascicularis,NT,Jan-08,,
394,Galaxea horrescens,Galaxea,horrescens,LC,Jan-08,,
395,Galaxea longisepta,Galaxea,longisepta,NT,Jan-08,,
396,Galaxea paucisepta,Galaxea,paucisepta,NT,Jan-08,,
397,Gardineroseris planulata,Gardineroseris,planulata,LC,Jan-08,,
