SourceID,Geographic_scope,Title,Author1,Author2,Author3,Year,Publisher,Link
21,New Zealand,Biomass and nutrient composition of temperate mangroves (Avicennia marina var australasica) in New Zealand,P. Tran,I. Gritcan,et al.,2017,"New Zealand Journal, Taylor & Francis",https://www.tandfonline.com/doi/abs/10.1080/00288330.2016.1260604
22,Philippines,Damage and recovery assessment of the Philippines' mangroves following Super Typhoon Haiyan,J Long,C Giri,et al.,2016,Marine pollution bulletin,https://scholar.google.co.uk/scholar?hl=en&as_sdt=0%2C5&as_ylo=2015&q=mangroves+philippines&btnG=&oq=mangroves+phili
23,Papua New Guinea,Masculinity and the culture of rising sea-levels in a mangrove lagoon in Papua New Guinea,D Lipset,,,2017,Maritime studies,https://link.springer.com/article/10.1186/s40152-017-0057-5
24,West Africa,The assessment of mangrove biomass and carbon in West Africa: a spatially explicit analytical framework,W. Tang,W. Feng,et al.,2016,Wetlands Ecological Management,https://link.springer.com/content/pdf/10.1007%2Fs11273-015-9474-7.pdf
25,Western Indian Ocean,Genetic population structure of the mangrove snails Littoraria subvittata and L. pallescens in the Western Indian Ocean,A. Nehemia,Y. Ngendu,M. Kochzius,2019,Journal of Experimental Marine Biology and Ecology,http://41.89.141.8/kmfri/bitstream/123456789/1109/1/nehemia2019.pdf
26,Southeast Asia,"Rates and drivers of mangrove deforestation in Southeast Asia, 2000 - 2012",D. R. Richards,D. A. Friess,,2015,PNAS,https://www.pnas.org/content/pnas/113/2/344.full.pdf
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
