SourceID,Geographic_scope,Title,Author1,Author2,Author3,Year,Publisher,Link
10,Thailand,Carbon Content in Different Seagrass Species in Andaman Coast of Thailand,M. Stankovic,J. Panyawai,et al.,2017,Sains Malaysiana,http://www.ukm.my/jsm/pdf_files/SM-PDF-46-9-2017/12%20Milica%20Stankovic.pdf
11,Baltic Sea,"Zoobenthic community establishment and habitat complexity - the importance of seagrass shoot densitiy, morphology and physical disturbance for faunal recruitement",C. Bostroem,E. Bonsdorff,,2000,Marine Ecology Progress Series,https://www.int-res.com/articles/meps/205/m205p123.pdf
12,Sweden,The Leaf Canopy of Seagrass Beds: Faunal Community Structure and Function in a Salinity Gradient Along the Swedish Coast,S.P. Baden,C. Bostroem,,2001,"Ecological Studies, Vol. 151. K. Reise (ed.) Ecological Comparisons of Sedimentary Shores",https://www.researchgate.net/profile/Susanne_Baden/publication/226307428_The_Leaf_Canopy_of_Seagrass_Beds_Faunal_Community_Structure_and_Function_in_a_Salinity_Gradient_Along_the_Swedish_Coast/links/565effe208aefe619b2785e2.pdf
13,Caribbean,Mangroves and seagrass beds do not enhance growth of early juveniles of a coral reef fish,M. G. G. Grol,M. Dorenbosch,et al.,2008,Marine Ecology Progress Series,https://www.int-res.com/articles/meps2008/366/m366p137.pdf
14,Indian Ocean,"New records of marine fishes illustrate the biogeographic importance of Christmas Island, Indian Ocean",J. P. A. Hobbs,A. M. Ayling,et al.,2010,"Zootaxa, Magnolia Press",https://s3.amazonaws.com/academia.edu.documents/42684636/New_records_of_marine_fishes_illustrate_20160214-15715-1l4pzvy.pdf?response-content-disposition=inline%3B%20filename%3DNew_records_of_marine_fishes_illustrate.pdf&X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIAIWOWYYGZ2Y53UL3A%2F20190726%2Fus-east-1%2Fs3%2Faws4_request&X-Amz-Date=20190726T095517Z&X-Amz-Expires=3600&X-Amz-SignedHeaders=host&X-Amz-Signature=77dbc535c054b1a83fcf25e57f88605ff61c123fc61fa0e70e0151b3a4883871
15,Christmas Island,Christmas Island and Pulu Keeling Expeditions 2010 to 2012: field work and locality records,T. H. Hui,T. S. Kiat,et al.,2014,Raffles Bulletin of Zoology,https://www.researchgate.net/profile/Heok_Tan/publication/270280689_Christmas_Island_and_Pulu_Keeling_Expeditions_2010_to_2012_field_work_and_locality_records/links/54a65be40cf257a63608f043.pdf
16,Cocos (Keeling) Island,Marine habitats of the Cocos (Keeling) Islands,D.G. Williams,,,1994,"National Museum of Natural History, Washington D.C., USA",https://repository.si.edu/bitstream/handle/10088/5931/00406.pdf
17,Pacific,Wetlands of the Pacific Island region,J. C. Ellison,,,2009,Wetlands Ecology Management,https://link.springer.com/content/pdf/10.1007%2Fs11273-008-9097-3.pdf
18,Wallis Island,"A preliminary annotated checklist of the marine algae and seagrasses of the Wallis Islands (French Overseas Territory of Wallis and Futuna), South Pacific",A. D. R. N'Yeurt,C. E. Payri,,2004,Australian Systematic Botany,https://www.publish.csiro.au/SB/SB03027
19,French Overseas Territories,Les Herbiers de Phanerogames marines de l'outre-mer francais,C. Hily,J. Duchene,et al.,2010,"IFRECOR, Conservatoire du littoral",http://www.observatoire-eau-martinique.fr/les-outils/atoumo/pdf_frise/Atlas_herbiers_outre_mer_francais_IFRECOR____47_2010_2-web.pdf
20,British Virgin Islands,The Relationship between imposex and tributyltin (TBT) concentration in Strombus gigas from the British Virgin Islands,C. P. Titley-O'Neal,B. A. MacDonald,et al.,2011,Bulletin of Marine Science,https://www.ingentaconnect.com/content/umrsmas/bullmar/2011/00000087/00000003/art00009?crawler=true&mimetype=application/pdf
21,"Dominica, St. Lucia","The distribution and expansion of the invasive segrass Halophila stipulacea in Dominica, West Indies, with a preliminary report from St. Lucia",D. A. Willette,R. F. Ambrose,,2009,Aquatic Botany,https://www.sciencedirect.com/science/article/pii/S0304377009000539
22,Dominica,"The distribution of seagrasses in Dominica, Lesser Antilles",S.C.C. Steiner,K.J. Macfarlane,et al.,2010,Revista de Biologia Tropical,https://www.scielo.sa.cr/scielo.php?script=sci_arttext&pid=S0034-77442010000700009
23,Mesoamerica,"Status of Coral Reefs of Mesoamerica - Mexico, Belize, Guatemala, Honduras, Nicaragua and El Salvador",P. Almada-Villela,M. McField,et al.,2002,Status of coral reefs of the World,https://www.researchgate.net/profile/Melanie_Mcfield/publication/238328086_State_of_the_Coastal_Zone_report/links/5517602b0cf2d70ee2779294.pdf
24,Central America,Chapter 7: Coastal morphology and coral reefs,J. Cortes,,,2007,"CRC Press; Central America: Geology, Resources and Hazards; Bundschuh & Alvarado (eds)",https://www.researchgate.net/profile/Jorge_Cortes2/publication/287645775_Coastal_morphology_and_coral_reefs/links/56784f2408aebcdda0ebd249.pdf
25,Africa,Biomass and productivity of seagrasses in Africa,M. N. Githaiga,L. Gilpin,et al.,2016,Botanica Marina,https://www.researchgate.net/profile/Jorge_Cortes2/publication/287645775_Coastal_morphology_and_coral_reefs/links/56784f2408aebcdda0ebd249.pdf
26,Gibraltar,Recent los of Gibraltar seagrasses,J. C. Bull,E. J. Kenyon,et al.,2010,Botanica Marina,https://www.researchgate.net/profile/James_Bull4/publication/257420930_Recent_loss_of_Gibraltar_seagrasses/links/5bb1edfca6fdccd3cb80afc6/Recent-loss-of-Gibraltar-seagrasses.pdf
27,Guernsey,Epibenthic Assessment of a Renewable Tidal Energy Site,E. V. Sheehan,S. C. Gall,et al.,2013,"Hindawi Publishing Corporation, The Scientific World Journal",https://www.scienceopen.com/document_file/64706201-07ca-4ba2-b4f8-aa45210634da/PubMedCentral/64706201-07ca-4ba2-b4f8-aa45210634da.pdf
28,Africa,ResilienSEA,GRID-Arendal,,,2019,GRID-Arendal,https://resiliensea.org/
29,British Isles,The perilous state of seagrass in the British Isles,B. L. Jones,Richard K. F. Unsworth,,2015,Royal society open science,https://royalsocietypublishing.org/doi/pdf/10.1098/rsos.150596
30,Jersey,Seagrass complexity hierarchies: influence on fish groups around the coast of Jersey (English Channel),E. L. Jackson,M. J. Attrill,et al.,2006,Journal of Experimental Marine Biology and Ecology,https://www.sciencedirect.com/science/article/pii/S0022098105005988
31,"Adriatic Sea, Montenegro",Characteristics of Posidonia oceanica Delile seagrass meadows in the Southeast Adriatic Sea of Montenegro,V. Macic,,,2012,Biologia Serbica,https://ojs.pmf.uns.ac.rs/index.php/dbe_serbica/article/viewFile/1286/12
32,"Adriatic Sea, Montenegro",Levels of 232Th activity in the South Adriatic Sea marine environment of Montenegro,N.M. Antovic,I. Antovic,N. Svrkota,2010,J Radioanal Nucl Chem,https://link.springer.com/content/pdf/10.1007/s10967-010-0512-x.pdf
33,UK Overseas Territories,"UK Overseas Territories in the Northeast Caribbean: Anguilla, British Virgin Islands, Montserrat",F. Gell,M. Watson,,2000,Seas at The Millenium: An Environmental Evaluation (edited by C Sheppard),http://pubs.iclarm.net/resource_centre/WF-1627.pdf
34,Nauru,The status of marine resources and coral reefs of Nauru,P. Jacob,,,2002,Coral reefs in the Pacific: status and monitoring; resources and management,https://www.sprep.org/att/IRC/eCOPIES/Countries/Nauru/3.pdf
35,Northern Mariana Islands,"An assessment of the sea turtles and their marine and terrestrial habitats at Saipan, Commonwealth of the Northern Mariana Islands",S. P. Kolinski,D. M. Parker,et al.,2001,Micronesica 24,https://micronesica.org/sites/default/files/6_kolinski_et_al.pdf
36,Hong Kong,Annual cycle of biomass of a threatened population of the intertidal seagrass Zostera japonica in Hong Kong,S. Y. Lee,,,1997,Marine Biology,https://link.springer.com/content/pdf/10.1007/s002270050159.pdf
37,South China,Main seagrass beds and threats to their habitats in the coastal sea of South China,X. Huang,L. Huan,et al.,2006,Chinese Science Bulletin,https://link.springer.com/article/10.1007/s11434-006-9136-5
38,Peru,"Algal and cyanobacterial saline biofilms of the Grande Coastal Lagoon, Lima, Peru",H. Montoya,,,2009,Natural Resources and Environmental Issues. Volume 15: Saline Lakes around the world: Unique systems with Unique Values,https://digitalcommons.usu.edu/cgi/viewcontent.cgi?article=1289&context=nrei
39,Peru,Feeding ecology of the green turtle Chelonia mydas in Northern Peru,A. Jimenez,S. Pingo,et al.,2017,Latin American Journal of aquatic research,https://scielo.conicyt.cl/scielo.php?pid=S0718-560X2017000300008&script=sci_arttext&tlng=e
40,Pitcairn Islands,Coral Reefs of the Pitcairn Islands,R. Irving,T. Dawson,,2013,"Coral Reefs of the United Kingdom Oversaeas Territories, Coral Reefs of the World 4",https://www.researchgate.net/profile/Robert_Irving2/publication/260655920_The_coral_reefs_of_the_Pitcairn_Islands/links/542059bf0cf203f155c58eca.pdf
41,Australia,An efficient method for estimating seagrass biomass,B. G. Long,T. D. Skewes,I. R. Poiner,1993,Aquatic Botany,https://www.sciencedirect.com/science/article/pii/0304377094900582
42,Caribbean,Non-native seagrass Halophila stipulacea forms dense mats under eutrophic conditions in the Caribbean,B.I. van Tussenbroek,M.M. van Katwijk,et al.,2016,Journal of Sea Research,http://tjisse.van-der-heide.com/wp-content/uploads/2016/09/Van-Tussenbroek-et-al-Journal-of-Sea-Research-2016.pdf
43,St. Maarten,Results of Nature Foundation Research into invasive seagrass H. Stipulacea in the Simpson Bay Lagoon,T. Bervoets,,,2013,Nature Foundation,http://dcnanature.org/wp-content/uploads/reports/Bervoets-2013-H-stipulacea-report.pdf
44,Caribbean,Caribbean Island states: Perils and prospects in a changing global environment,O. E. Granger,,,1997,Journal of Coastal Research,https://www.jstor.org/stable/pdf/25736088.pdf?casa_token=De0MpnLKblAAAAAA:1ArD41-tT-5hzu-FTn5BKqTG57axc3bwfqtlqtAPjC0LM9Lt1qt6Cogjz9mMfWAXgwepAYpfIILanGYAwx6bshP6_GQSAm_sXMNKR61N6lLXQIVzdHce
45,Taiwan,Dynamic factor analysis of long-term growth trends of the intertidal seagrass Thalassia hemprichii in southern Taiwan,Y. M. Kuo,H.J. Lin,,2010,"Estuarine, Coastal and Shelf Science",http://www.evergladeshub.com/lit/pdf10/Kuo'10EstCoastShelfSci-134-SeagrassTaiwan.pdf
46,"Taiwan, Tongsha Island","Seagrasses of Tongsha Island, with descriptions of four new records to Taiwan",H. J. Lin,L.Y. Hsieh,P. J. Liu,2005,Botanical Bulletin of Academia Sinica,https://ejournal.sinica.edu.tw/bbas/content/2005/2/Bot462-10.html
47,Coral Triangle,Ecoregional scale seagrass mapping: A tool to support resilient MPA network design in the Coral Triangle,D. Torres-Pulliza,J. R. Wilson,et al.,2013,Ocean & Coastal Management,https://www.sciencedirect.com/science/article/pii/S0964569113000951#fig2
48,Pacific,Effects of Climate Change on seagrasses and seagrass habitats relevant to the Pacific Islands,G. Brodie,A. De Ramon N'Yeurt,,2018,"Pacific Marine climate change report card, Commonwealth Marine Economies Programme",https://www.researchgate.net/profile/Antoine_De_Ramon_NYeurt/publication/325642588_Effects_of_Climate_Change_on_Seagrasses_and_Seagrass_Habitats_Relevant_to_the_Pacific_Islands/links/5b19ea32a6fdcca67b660319/Effects-of-Climate-Change-on-Seagrasses-and-Seagrass-Habitats-Relevant-to-the-Pacific-Islands.pdf
49,Tropical Pacific,Biogeography of the Tropicial Pacific,D. R. Stoddart,,,1992,Pacific Science,https://scholarspace.manoa.hawaii.edu/bitstream/10125/727/v46n2-276-293.pdf
50,Bangladesh,Saltmarsh and seagrass beds on the south-eastern coast of Bangladesh: vegetation characteristics and adjacent fisheries diversity,M. Billah,H. Zamal,et al.,2016,Zoology and Ecology,https://www.researchgate.net/profile/Md_Billah3/publication/307375053_Saltmarsh_and_seagrass_beds_on_the_south-eastern_coast_of_Bangladesh_vegetation_characteristics_and_adjacent_fisheries_diversity/links/59228928aca27295a8a648eb/Saltmarsh-and-seagrass-beds-on-the-south-eastern-coast-of-Bangladesh-vegetation-characteristics-and-adjacent-fisheries-diversity.pdf
51,Brazil,"Seagrass and submerged aquatic vegetation (VAS) Habitats off the coast of Brazil: state of knowledge, conservation and main threats",M. S. Copertino,J. C. Creed,et al.,2016,Brazilian Journal of Oceanography,http://www.scielo.br/pdf/bjoce/v64nspe2/1679-8759-bjoce-64-spe2-0053.pdf
52,British Virgin Islands,The value of information: Realising the economic benefits of mapping seagrass meadows in the British Virgin Islands,E. Tyllianakis,A. Callaway,et al.,2019,Science of The Total Environment,https://www.sciencedirect.com/science/article/pii/S0048969718337471
53,Cabo Verde,"First record of seagrass in Cape Verde, eastern Atlantic",J. C. Creed,A. H. Engelen,et al.,2016,Marine Biodiversity Records,https://mbr.biomedcentral.com/articles/10.1186/s41200-016-0067-9
54,Canada,"Nitroen loading rates for twenty-one seagrass inhabited bays in Nova Scotia, Canada",E. J. Nagel,G. Murphy,et al.,2018,Canadian Technical Report of Fisheries and Aquatic Sciences,https://www.researchgate.net/profile/Elizabeth_Nagel/publication/325205902_Nitrogen_loading_rates_for_twenty-one_seagrass_inhabited_bays_in_Nova_Scotia_Canada/links/5afdcd64a6fdcc3a5ac459d6/Nitrogen-loading-rates-for-twenty-one-seagrass-inhabited-bays-in-Nova-Scotia-Canada.pdf
55,Chile,"An update on morphology and distribution of Ruppia filifolia (Philippi) Skottsberg in the Magellan region, southern Chile",S. Murcia,J. Terrados,et al.,2018,Latin American Journal of aquatic research,https://scielo.conicyt.cl/scielo.php?pid=S0718-560X2018000100045&script=sci_arttext
56,China,"Newly discovered seagrass beds and their potential for blue carbon in the coastal seas of Hainan Island, South China Sea",Z. Jiang,S. Liu,et al.,2017,Marine Pollution Bulletin,https://www.researchgate.net/profile/Songlin_Liu7/publication/319127425_Newly_discovered_seagrass_beds_and_their_potential_for_blue_carbon_in_the_coastal_seas_of_Hainan_Island_South_China_Sea/links/59d9dd370f7e9b12b36d5fdf/Newly-discovered-seagrass-beds-and-their-potential-for-blue-carbon-in-the-coastal-seas-of-Hainan-Island-South-China-Sea.pdf
57,"Adriatic Sea, Mediterranean",Potential and realized connectivity of the seagrass Posidonia oceanica and their implication for conservation,M. Jahnke,R. Casagrandi,et al.,2017,Diversity and Distributions,https://onlinelibrary.wiley.com/doi/pdf/10.1111/ddi.12633
58,Gabon,Biodiversity in Gabon: An Overview,J. B. Mikissa,F. K. Pambou,E. B. Ngoyi,2018,Global Biodiversity Volume 3: Selected Countries in Africa. Edited by T. Pullaiah,https://books.google.co.uk/books?hl=en&lr=&id=fAF-DwAAQBAJ&oi=fnd&pg=PT65&dq=seagrass+gabon&ots=3Mb7u9Barp&sig=x4q46XaVlGybNRSNcoWKt0HZ7oo#v=onepage&q=seagrass%20gabon&f=false
59,Ghana,Biodiversity threats assessment for the Western region of Ghana,K.A.A. de Graft-Johnson,J. Blay,et al.,2010,Integrated Coastal and Fisheries Governance Initiative Ghana,https://www.crc.uri.edu/download/GH2009ICM003_508.pdf
60,France,The impact of 85 years of coastal development on shallow seagrass beds (Posidonia oceanica L. (Delile)) in South Eastern France: A slow but steady loss without recovery,F. Holon,P. Boissery,et al.,2015,"Estuarine, Coastal and Shelf Science",https://www.sciencedirect.com/science/article/pii/S0272771415001663
61,Caribbean,Zoogeography of Marine Gastropod in the Southern Caribbean: A New Look at Provinciality,J. M. Diaz,,,1995,Caribbean Journal of Science,https://www.researchgate.net/profile/Juan_Diaz31/publication/240789042_Zoogeography_of_Marine_Gastropod_in_the_Southern_Caribbean_A_New_Look_at_Provinciality/links/0c96051c71cf3a3510000000/Zoogeography-of-Marine-Gastropod-in-the-Southern-Caribbean-A-New-Look-at-Provinciality.pdf
62,Indonesia,Species richness effects on the vegetative expansion of transplanted seagrass in Indonesia,N. Asriani,R. Ambo-Rappe,et al.,2018,Botanica Marina,https://www.degruyter.com/view/j/botm.2018.61.issue-3/bot-2017-0127/bot-2017-0127.xml
63,Iran,Chapter 4 - Estuaries and Coastal Zones in the Northern Persian Gulf (Iran),M. Sharifinia,M. Daliri,E. Kamrani,2019,Coasts and Estuaries,https://www.sciencedirect.com/science/article/pii/B9780128140031000046
64,Arabian Gulf,"Seagrass habitats in the Arabian Gulf: distribution, tolerance thresholds and threats",P. L. A. Erftemeijer,D. A. Shuail,,2012,Aquatic Ecosystem Health & Management,https://www.tandfonline.com/doi/full/10.1080/14634988.2012.668479?casa_token=h3YjV2t_C1oAAAAA:7nFxZLbjgOrPWe5reNmzbdplzpB8vU5WUJj7GLXdqGqA2kGt4ZyQCRAPiqXraSNJ8GQsBd3HnZ68RI0
65,Equatorial Guinea,"Post-nesting movements of the Green Turtle, Chelonia mydas, nesting in the South of Bioko Island, Equatorial Guinea, West Africa",J. Tomas,A. Formia,et al.,2001,Proceedings of the Twenty-first annual Symposium on sea turtle biology and conservation,https://repository.library.noaa.gov/view/noaa/3412/noaa_3412_DS1.pdf#page=354
66,Senegal,New distribution limits of seagrass beds in West Africa,A. H. Cunha,A. Araujo,,2009,Journal of Beiogeography,https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2699.2009.02135.x?casa_token=YnJFMx9qwR4AAAAA:57mr6JRSi5aCXThvRH4PfO8sKKqZ7csoCSJ4RsVh680bqcbYXRdH0ir_AYweaiHDirArQhKfyYTxTIdL
67,France,Spatial mapping of the biophony of the fishes living in seagrass meadows,C. Gervaise,J. Lossent,et al.,2018,Journal of the Acoustical Society of America,https://asa.scitation.org/doi/abs/10.1121/1.5067518
68,India,A comprehensive geospatial assessment of seagrass distribution in India,G.A. Geevarghese,B. Akhil,et al.,2018,Ocean & Coastal Management,https://www.researchgate.net/profile/Pandian_Krishnan/publication/321123010_A_comprehensive_geospatial_assessment_of_seagrass_distribution_in_India/links/5a6075d4aca272328103d055/A-comprehensive-geospatial-assessment-of-seagrass-distribution-in-India.pdf
69,Ireland,"Intertidal seagrass in Ireland: Pressures, WFD status, and an assessment of trace element contamination in intertidal habitats using Zostera noltei",R. Wilkes,M. Bennion,et al.,2017,Ecological Indicators,https://www.sciencedirect.com/science/article/pii/S1470160X17303783
70,Japan,Carbon sequestration by seagrass and macroalgae in Japan: Estimates and Future Needs,G. Yoshida,M. Hori,et al.,2018,Blue Carbon in shallow coastal ecosystems,https://link.springer.com/chapter/10.1007/978-981-13-1295-3_4
71,Malaysia,Seagrass in Malaysia: Issues and Challenges ahead,J. S. Bujang,M. H. Zakaria,F. T. Short,2018,"The Wetland Book II: Distribution, Description and Conservation",https://link.springer.com/content/pdf/10.1007/978-94-007-4001-3_268.pdf
72,Myanmar,Complex yet faune-deficient seagrass ecosystems at risk in southern Myanmar,B L. Jones,L. C. Cullen-Unsworth,et al.,2018,Botanica Marina,https://www.degruyter.com/view/j/botm.2018.61.issue-3/bot-2017-0082/bot-2017-0082.xml
73,Sri Lanka,Substrate characteristics and species diversity of marine angiosperms in a micro-tidal basin estuary on the west coast of Sri Lanka,K. H. W. L. De Silva,M. D. Amarasingh,,2007,Sri Lanka Journal of Aquatic Science,http://repository.kln.ac.lk/jspui/bitstream/123456789/8922/3/vol12.103-114.pdf
74,Turks and Caicos Islands,An ecosystems perspectives for food security in the Caribbean: Seagrass meadows in the Turks and Caicos Islands,S. Baker,J. Paddock,et al.,2015,Ecosystem Services,https://www.sciencedirect.com/science/article/pii/S2212041614000825
75,Global,Coastal blue carbon ecosystems,D. Herr,E. Landis,,2016,"Gland, Switzerland: IUCN",https://www.mangrovealliance.org/wp-content/uploads/2017/08/BC-NDCs_FINAL.pdf
76,UK,Variability of UK seagrass sediment carbon: Implications for blue carbon estimates and marine conservation management,A. Green,M. A. Chadwick,P. J. S. Jones,2018,PLOS ONE,
77,Global,World Atlas of Coral Reefs,M. D. Spalding,C. Ravilious,E. P. Green,2001,UNEP-WCMC,
78,"Portugal, Angola",Comparative analysis of a temperate and a tropical seagrass bed fish assemblages in two estuarine systems: the Mira estuary (Portugal) and the Mussulo lagoon (Angola),M. J. Costa,C. I. Santos,H. N Cabral,2002,Cah. Biol. Mar.,http://www.vliz.be/imisdocs/publications/289199.pdf
79,Australia,"Seagrass morphometrics at species level in Moreton Bay, Australia from 2012 to 2013",J. Samper-Villarreal,C. Roelfsema,et al.,2017,Nature,https://www.nature.com/articles/sdata201760
80,USA,"Recurrence of Thalassia testudinum seagrass die-off in Florida Bay, USA: initial ovservations",M. O. Hall,B. T. Furman,et al.,2016,Marine Ecology Progress Series,https://www.int-res.com/abstracts/meps/v560/p243-249
81,Norway,"Biomass, production and rhizome growth near the northern limit of seagrass (Zostera marina) distribution",C. M. Duarte,R. Martinez,C. Barron,2002,Aquatic Botany,https://www.sciencedirect.com/science/article/pii/S030437700100225X
82,New Zealand,Benthic macro-invertebrate community composition within a mangrove/seagrass estuary in northern New Zealand,A. C. Alfaro,,,2006,"Estuarine, Coastal and Shelf Science",https://www.sciencedirect.com/science/article/pii/S0272771405002726
83,Philippines,"Habitat use by fishes in coral reefs, seagrass beds and mangrove habitats in the Philippines",K. Honda,Y. Nakamura,et al.,2013,PLOS ONE,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0065735
84,Caribbean,"The Functional Value of Caribbean Coral Reef, Seagrass and Mangrove Habitats to Ecosystem Processes",A. R. Harborne,P. J. Mumby,et al.,2006,Advances in Marine Biology,http://web.stanford.edu/group/MicheliLab/pdf/46-Harborneetal2006MarBio.pdf
85,Yemen,Zoological survey in the Red Sea coastal zone of Yemen,F. Krupp,M. Apel,et al.,2006,Fauna of Arabia,https://www.researchgate.net/profile/Friedhelm_Krupp/publication/287747725_Zoological_survey_in_the_Red_Sea_coastal_zone_of_Yemen/links/567b849d08ae1975838166b8/Zoological-survey-in-the-Red-Sea-coastal-zone-of-Yemen.pdf
86,Vietnam,Status and threats on seagrass beds using GIS in Vietnam,C. V. Luong,N. V. Thao,et al.,2012,"Remote Sensing of the Marine Environment II, edited by Robert J. Frouin",https://www.researchgate.net/profile/Cao_Luong/publication/258721152_Status_and_threats_on_seagrass_beds_using_GIS_in_Vietnam/links/0c960532d285f440e7000000.pdf
87,Black Sea,On the status of seagrass communities in the Black Sea,N. A. Milchakova,,,1999,Aquatic Botany,https://www.sciencedirect.com/science/article/pii/S0304377099000285
88,Turkey,"The Brachyura (Decapoda) community of Zostera marina meadows in the coastal area of the Southern Black Sea (Sinop Peninsula, Turkey)",S. Bilgin,A. Suat Ates,E. Sanver Celik,2007,Crustaceana,https://www.researchgate.net/publication/233518403_The_Brachyura_Decapoda_community_of_Zostera_marina_meadows_in_the_coastal_area_of_the_southern_Black_Sea_Sinop_Peninsula_Turkey
89,"Germany, Denmark",Cascading effects of hydrodynamics on an epiphyte-grazer system in intertidal seagrass beds of the Wadden Sea,A. Schanz,P. Polte,H. Asmus,2002,Marine Biology,https://link.springer.com/content/pdf/10.1007/s00227-002-0823-8.pdf
90,Global,IUCN Redlist,,,,,,
